iter	Passed	Remaining
702	1593	673
703	1595	670
704	1597	668
705	1598	665
706	1600	663
707	1602	660
708	1605	658
709	1607	656
710	1608	653
711	1610	651
712	1612	649
713	1614	646
714	1616	644
715	1618	641
716	1620	639
717	1622	637
718	1624	634
719	1626	632
720	1628	630
721	1631	628
722	1633	625
723	1635	623
724	1637	620
725	1639	618
726	1641	616
727	1643	614
728	1645	611
729	1647	609
730	1649	607
731	1651	604
732	1653	602
733	1655	599
734	1656	597
735	1658	594
736	1660	592
737	1662	590
738	1664	587
739	1666	585
740	1667	582
741	1669	580
742	1671	578
743	1673	575
744	1675	573
745	1678	571
746	1680	569
747	1681	566
748	1683	564
749	1685	561
750	1687	559
751	1689	557
752	1691	554
753	1693	552
754	1695	550
755	1697	547
756	1698	545
757	1700	542
758	1702	540
759	1704	538
760	1706	535
761	1707	533
762	1709	531
763	1711	528
764	1713	526
765	1715	523
766	1717	521
767	1719	519
768	1721	516
769	1723	514
770	1725	512
771	1726	509
772	1728	507
773	1730	505
774	1732	502
775	1734	500
776	1735	498
777	1737	495
778	1739	493
779	1741	491
780	1743	488
781	1745	486
782	1747	484
783	1749	481
784	1750	479
785	1752	477
786	1754	474
787	1756	472
788	1758	470
789	1759	467
790	1761	465
791	1763	463
792	1766	461
793	1768	458
794	1770	456
795	1771	454
796	1773	451
797	1775	449
798	1777	447
799	1779	444
800	1781	442
801	1782	440
802	1784	437
803	1786	435
804	1788	433
805	1789	430
806	1791	428
807	1793	426
808	1795	423
809	1797	421
810	1799	419
811	1801	417
812	1803	414
813	1805	412
814	1806	410
815	1808	407
816	1811	405
817	1812	403
818	1814	401
819	1816	398
820	1818	396
821	1820	394
822	1822	391
823	1824	389
824	1825	387
825	1827	385
826	1829	382
827	1831	380
828	1833	378
829	1835	375
830	1837	373
831	1839	371
832	1841	369
833	1843	366
834	1844	364
835	1846	362
836	1848	359
837	1850	357
838	1851	355
839	1853	352
840	1855	350
841	1858	348
842	1860	346
843	1861	344
844	1863	341
845	1865	339
846	1867	337
847	1869	335
848	1871	332
849	1873	330
850	1875	328
851	1876	326
852	1878	323
853	1880	321
854	1882	319
855	1884	317
856	1886	314
857	1888	312
858	1890	310
859	1891	307
860	1893	305
861	1895	303
862	1897	301
863	1899	299
864	1901	296
865	1903	294
866	1905	292
867	1907	290
868	1909	287
869	1911	285
870	1913	283
871	1915	281
872	1917	278
873	1919	276
874	1921	274
875	1923	272
876	1925	270
877	1927	267
878	1929	265
879	1931	263
880	1933	261
881	1934	258
882	1936	256
883	1938	254
884	1940	252
885	1942	249
886	1944	247
887	1946	245
888	1948	243
889	1950	241
890	1952	238
891	1953	236
892	1955	234
893	1957	232
894	1959	229
895	1961	227
896	1963	225
897	1965	223
898	1967	221
899	1969	218
900	1971	216
901	1973	214
902	1975	212
903	1976	209
904	1978	207
905	1980	205
906	1982	203
907	1984	201
908	1986	198
909	1988	196
910	1990	194
911	1992	192
912	1994	190
913	1996	187
914	1998	185
915	2000	183
916	2002	181
917	2004	179
918	2006	176
919	2008	174
920	2009	172
921	2011	170
